date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
2026-03-27,Netherlands,Norway,2.0,1.0,Friendly,Amsterdam,Netherlands,False,2026
2026-03-27,Saudi Arabia,Egypt,0.0,4.0,Friendly,Jeddah,Saudi Arabia,False,2026
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False,2026
2026-03-27,Spain,Serbia,3.0,0.0,Friendly,Villarreal,Spain,False,2026
2026-03-27,Russia,Nicaragua,3.0,1.0,Friendly,Krasnodar,Russia,False,2026
2026-03-27,Switzerland,Germany,3.0,4.0,Friendly,Basel,Switzerland,False,2026
2026-03-27,Costa Rica,Jordan,2.0,2.0,Friendly,Antalya,Turkey,True,2026
2026-03-27,Iran,Nigeria,1.0,2.0,Friendly,Antalya,Turkey,True,2026
2026-03-27,China PR,Curaçao,2.0,0.0,FIFA Series,Sydney,Australia,True,2026
2026-03-27,Australia,Cameroon,1.0,0.0,FIFA Series,Sydney,Australia,False,2026
2026-03-27,Azerbaijan,Saint Lucia,6.0,1.0,FIFA Series,Sumgait,Azerbaijan,False,2026
2026-03-27,Solomon Islands,Bulgaria,2.0,10.0,FIFA Series,Jakarta,Indonesia,True,2026
2026-03-27,Indonesia,Saint Kitts and Nevis,4.0,0.0,FIFA Series,Jakarta,Indonesia,False,2026
2026-03-27,Chile,Cape Verde,4.0,2.0,FIFA Series,Auckland,New Zealand,True,2026
2026-03-27,New Zealand,Finland,0.0,2.0,FIFA Series,Auckland,New Zealand,False,2026
2026-03-27,Kenya,Estonia,1.0,1.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-27,Rwanda,Grenada,4.0,0.0,FIFA Series,Kigali,Rwanda,False,2026
2026-03-27,Venezuela,Trinidad and Tobago,4.0,1.0,FIFA Series,Tashkent,Uzbekistan,True,2026
2026-03-27,Uzbekistan,Gabon,3.0,1.0,FIFA Series,Tashkent,Uzbekistan,False,2026
2026-03-27,Guyana,Dominica,2.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-27,Belize,Sint Maarten,2.0,3.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-28,Burkina Faso,Guinea-Bissau,5.0,0.0,Friendly,Ouagadougou,Burkina Faso,False,2026
2026-03-28,Canada,Iceland,2.0,2.0,Friendly,Toronto,Canada,False,2026
2026-03-28,Haiti,Tunisia,0.0,1.0,Friendly,Toronto,Canada,True,2026
2026-03-28,Hungary,Slovenia,1.0,0.0,Friendly,Budapest,Hungary,False,2026
2026-03-28,Ivory Coast,South Korea,4.0,0.0,Friendly,Milton Keynes,England,True,2026
2026-03-28,Mexico,Portugal,0.0,0.0,Friendly,Mexico City,Mexico,False,2026
2026-03-28,San Marino,Faroe Islands,1.0,2.0,Friendly,Serravalle,San Marino,False,2026
2026-03-28,Scotland,Japan,0.0,1.0,Friendly,Glasgow,Scotland,False,2026
2026-03-28,Senegal,Peru,2.0,0.0,Friendly,Paris,France,True,2026
2026-03-28,United States,Belgium,2.0,5.0,Friendly,Atlanta,United States,False,2026
2026-03-28,Kyrgyzstan,Madagascar,2.0,5.0,Friendly,Antalya,Turkey,True,2026
2026-03-28,Botswana,Zimbabwe,0.0,3.0,Mukuru 4 Nations,Francistown,Botswana,False,2026
2026-03-28,Namibia,Comoros,0.0,0.0,FIFA Series,Astana,Kazakhstan,True,2026
2026-03-28,American Samoa,Guam,0.0,6.0,FIFA Series,Bayamón,Puerto Rico,True,2026
2026-03-28,Puerto Rico,United States Virgin Islands,2.0,0.0,FIFA Series,Bayamón,Puerto Rico,False,2026
2026-03-29,Armenia,Belarus,1.0,2.0,Friendly,Yerevan,Armenia,False,2026
2026-03-29,Colombia,France,1.0,3.0,Friendly,Landover,United States,True,2026
2026-03-29,Lithuania,Georgia,0.0,2.0,Friendly,Kaunas,Lithuania,False,2026
2026-03-29,Macau,Tanzania,0.0,6.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-29,Aruba,Liechtenstein,4.0,1.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-29,Martinique,El Salvador,0.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-29,Dominican Republic,Cuba,1.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,2026
2026-03-29,Barbados,Saint Vincent and the Grenadines,2.0,3.0,CONCACAF Series,Rincon,Bonaire,True,2026
2026-03-29,Bonaire,Saint Martin,0.0,3.0,CONCACAF Series,Rincon,Bonaire,False,2026
2026-03-29,British Virgin Islands,Anguilla,4.0,0.0,CONCACAF Series,George Town,Cayman Islands,True,2026
2026-03-29,Cayman Islands,Bahamas,1.0,0.0,CONCACAF Series,George Town,Cayman Islands,False,2026
2026-03-30,Cyprus,Moldova,3.0,2.0,Friendly,Nicosia,Cyprus,False,2026
2026-03-30,Germany,Ghana,2.0,1.0,Friendly,Stuttgart,Germany,False,2026
2026-03-30,Azerbaijan,Sierra Leone,1.0,1.0,FIFA Series,Sumgait,Azerbaijan,False,2026
2026-03-30,Saint Kitts and Nevis,Solomon Islands,4.0,2.0,FIFA Series,Jakarta,Indonesia,True,2026
2026-03-30,Indonesia,Bulgaria,0.0,1.0,FIFA Series,Jakarta,Indonesia,False,2026
2026-03-30,Cape Verde,Finland,1.0,1.0,FIFA Series,Auckland,New Zealand,True,2026
2026-03-30,New Zealand,Chile,4.0,1.0,FIFA Series,Auckland,New Zealand,False,2026
2026-03-30,Grenada,Kenya,0.0,3.0,FIFA Series,Kigali,Rwanda,True,2026
2026-03-30,Rwanda,Estonia,2.0,0.0,FIFA Series,Kigali,Rwanda,False,2026
2026-03-30,Gabon,Trinidad and Tobago,2.0,2.0,FIFA Series,Tashkent,Uzbekistan,True,2026
2026-03-30,Uzbekistan,Venezuela,0.0,0.0,FIFA Series,Tashkent,Uzbekistan,False,2026
2026-03-30,Guyana,Belize,3.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-30,Dominica,Sint Maarten,0.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,2026
2026-03-31,Algeria,Uruguay,0.0,0.0,Friendly,Turin,Italy,True,2026
2026-03-31,Argentina,Zambia,5.0,0.0,Friendly,Buenos Aires,Argentina,False,2026
2026-03-31,Austria,South Korea,1.0,0.0,Friendly,Vienna,Austria,False,2026
2026-03-31,Benin,Guinea,1.0,0.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,2026
2026-03-31,Brazil,Croatia,3.0,1.0,Friendly,Orlando,United States,True,2026
2026-03-31,Burkina Faso,Guinea-Bissau,1.0,1.0,Friendly,Ouagadougou,Burkina Faso,False,2026
2026-03-31,Canada,Tunisia,0.0,0.0,Friendly,Toronto,Canada,False,2026
2026-03-31,Costa Rica,Iran,0.0,5.0,Friendly,Antalya,Turkey,True,2026
2026-03-31,England,Japan,0.0,1.0,Friendly,London,England,False,2026
2026-03-31,Equatorial Guinea,Madagascar,1.0,1.0,Friendly,Manavgat,Turkey,True,2026
